UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP0.5_SL2.0
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-541762.3750000005,0.0,-541762.3750000005,-127511.12499999983,-170221.03388499984,42709.908885000004,69342.875,79840.25,-127511.12499999983,194202.8438472499,188,565880,40,-40,E1.5_TP0.5_SL2.0
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-277181.999999999,0.0,-277181.999999999,-45586.34999999925,-66395.22063929925,20808.870639300003,23310.9,47338.65000000001,-45586.34999999925,123476.1565787991,80,169920,40,0,E1.5_TP0.5_SL2.0
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-364419.3999999964,0.0,-364419.3999999964,-167149.89999999639,-219040.76556403638,51890.865564039996,82065.49999999996,98270.40000000002,-167149.89999999639,326998.14159571304,202,280376,0,-40,E1.5_TP0.5_SL2.0
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-140871.75,0.0,-140871.75,17405.09999999983,-2312.0454369601757,19717.145436960007,13558.049999999994,15276.149999999996,17405.09999999983,22886.985674882773,86,42828,40,-3,E1.5_TP0.5_SL2.0
