UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-124763.84999999628,0.0,-124763.84999999628,165866.0000000036,102880.5919556636,62985.40804434,127938.89999999997,121450.0,165866.0000000036,348509.4931390331,254,352552,2,-40,E1.5_TP1.0_SL1.5
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-155164.34999999922,0.0,-155164.34999999922,-124549.79999999894,-146790.29387249897,22240.49387250001,30813.750000000004,21252.149999999998,-124549.79999999894,249807.06435767814,100,49800,40,-3,E1.5_TP1.0_SL1.5
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-192913.19999999937,0.0,-192913.19999999937,-255997.43999999994,-341407.60971263994,85410.16971264001,132397.19999999998,142197.84000000003,-255997.43999999994,575679.8943080647,294,3471552,0,-40,E1.5_TP1.0_SL1.5
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,-32448.50000000013,-0.0,-32448.50000000013,22513.19999999972,-30676.229380440294,53189.429380440015,77292.4,102857.0,22513.19999999972,200181.0293276,282,82344,40,-1,E1.5_TP1.0_SL1.5
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-215739.99999999994,0.0,-215739.99999999994,127319.99999999999,77408.764792,49911.23520799999,55700.0,91540.0,127319.99999999999,91460.17879200212,252,201600,40,-40,E1.5_TP1.0_SL1.5
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-582866.6400000029,0.0,-582866.6400000029,-48996.60000000362,-97533.22873087565,48536.62873087203,96681.47999999998,102468.47999999998,-48996.60000000362,149589.46055342577,206,3178992,40,-40,E1.5_TP1.0_SL1.5
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-653971.4749999997,-0.0,-653971.4749999997,-235720.4999999997,-290279.9230414797,54559.42304148001,93441.30000000006,115648.89999999998,-235720.4999999997,349534.83164136956,254,478028,40,-40,E1.5_TP1.0_SL1.5
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-86124.40000000005,0.0,-86124.40000000005,-128741.80000000051,-169556.60503232048,40814.805032319986,21850.799999999992,24436.200000000008,-128741.80000000051,244825.71096111817,178,395872,40,-5,E1.5_TP1.0_SL1.5
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,-1374912.6999999993,0.0,-1374912.6999999993,418705.00000000116,209798.50863720095,208906.4913628002,335293.7,395377.5,418705.00000000116,342221.28513999993,968,54208,40,-40,E1.5_TP1.0_SL1.5
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,83337.50000000554,0.0,83337.50000000554,37059.37500000488,13153.524354254885,23905.850645749997,25406.875,30532.5,37059.37500000488,140251.248554,94,277300,40,-1,E1.5_TP1.0_SL1.5
SIEMENS,2025-02-17 11:19:00,2025-09-30 15:29:00,81406.8749999988,0.0,81406.8749999988,24366.37499999905,-16649.806453500936,41016.18145349999,54936.75,87800.625,24366.37499999905,141891.01666410058,274,90420,40,-1,E1.5_TP1.0_SL1.5
SOLARINDS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
SONACOMS,2025-02-17 11:19:00,2025-09-30 15:29:00,787704.9000000022,0.0,787704.9000000022,65358.15000000246,-9917.203494357564,75275.35349436002,115467.4500000001,279880.8000000001,65358.15000000246,377808.16625154053,374,1243176,0,-40,E1.5_TP1.0_SL1.5
SRF,2025-02-17 11:20:00,2025-09-30 15:29:00,-219810.2999999967,0.0,-219810.2999999967,39142.60000000358,21119.911020803578,18022.6889792,28302.1,15702.300000000001,39142.60000000358,23105.43085804134,82,47888,0,-40,E1.5_TP1.0_SL1.5
SUNPHARMA,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
SUPREMEIND,2025-02-17 11:19:00,2025-09-30 15:29:00,7512.99999999932,0.0,7512.99999999932,176802.99999999953,147856.61602799952,28946.383972000007,68948.0,95667.0,176802.99999999953,263222.5327292001,128,56320,40,-12,E1.5_TP1.0_SL1.5
SUZLON,2025-08-01 11:25:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
SYNGENE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
