UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-221505.89999999493,0.0,-221505.89999999493,70880.55000000655,44957.39227908655,25923.157720920004,47866.95000000001,60210.00000000003,70880.55000000655,24157.568752558134,142,189996,0,-40,E1.5_TP1.0_SL1.5
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-53214.19999999977,0.0,-53214.19999999977,80502.23999999918,46767.33729823918,33734.902701759995,42445.259999999995,40629.42,80502.23999999918,368146.56321955007,146,1472848,40,-23,E1.5_TP1.0_SL1.5
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,8762.975000001203,-0.0,8762.975000001203,55300.69999999999,-9832.723092400018,65133.42309240001,91522.275,147743.375,55300.69999999999,170214.33256958562,268,411112,40,-3,E1.5_TP1.0_SL1.5
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,-110057.60000000175,0.0,-110057.60000000175,67530.89999999866,28764.088439118663,38766.81156087999,46585.399999999994,55305.900000000016,67530.89999999866,99398.68143427654,166,108232,40,-40,E1.5_TP1.0_SL1.5
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL1.5
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-558355.0000000003,0.0,-558355.0000000003,-179696.99999999997,-223911.14959744998,44214.149597450014,70923.125,80780.875,-179696.99999999997,242577.98153540204,194,583940,40,-40,E1.5_TP1.0_SL1.5
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-685282.050000004,0.0,-685282.050000004,-54772.65000000408,-137260.24468326409,82487.59468326,117696.15000000007,157069.8000000001,-54772.65000000408,303574.2336766756,346,734904,40,-40,E1.5_TP1.0_SL1.5
