UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-20471.399999999787,0.0,-20471.399999999787,9901.200000000426,7715.985290700426,2185.2147093,4114.35,4649.550000000001,9901.200000000426,5900.559167340273,12,16056,0,-4,E2.5_TP1.0_SL1.5
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,9356.619999999803,0.0,9356.619999999803,146931.71999999968,113392.63049285566,33539.08950714402,36165.479999999996,46001.280000000035,146931.71999999968,61281.615323968035,142,1432496,40,0,E2.5_TP1.0_SL1.5
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-5484.050000000081,-0.0,-5484.050000000081,79461.19999999924,44701.61676200925,34759.58323798999,55933.474999999984,101263.17500000005,79461.19999999924,138682.0363864,144,220896,40,-1,E2.5_TP1.0_SL1.5
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL1.5
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-212995.12499999997,0.0,-212995.12499999997,-102490.5,-121604.91722224999,19114.417222249995,26187.0,46730.25,-102490.5,195550.3346859957,80,240800,40,0,E2.5_TP1.0_SL1.5
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-258623.54999999923,0.0,-258623.54999999923,-4540.049999998759,-28601.495072278765,24061.445072280007,30373.200000000004,77871.14999999995,-4540.049999998759,58631.16440988245,94,199656,40,0,E2.5_TP1.0_SL1.5
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-9924.199999999182,0.0,-9924.199999999182,40286.700000000914,34920.40741836091,5366.29258164,17193.85,9698.65,40286.700000000914,11839.819968080377,22,30536,0,-7,E2.5_TP1.0_SL1.5
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-135294.1500000003,0.0,-135294.1500000003,-126666.30000000028,-144824.15256732027,18157.852567320002,11043.149999999994,16122.75,-126666.30000000028,148598.87223557924,82,40836,40,0,E2.5_TP1.0_SL1.5
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-116663.04000000011,0.0,-116663.04000000011,2833.9199999994307,-11280.082669632571,14114.002669632002,19247.04,18656.64,2833.9199999994307,45353.66866099338,50,590400,0,-12,E2.5_TP1.0_SL1.5
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,-34419.500000000015,-0.0,-34419.500000000015,99995.39999999967,55868.12698983964,44127.27301016003,66539.5,84789.5,99995.39999999967,206523.23624108202,238,69496,40,0,E2.5_TP1.0_SL1.5
