UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-215739.99999999994,0.0,-215739.99999999994,131379.99999999965,81476.02143999966,49903.97855999999,54860.0,89560.0,131379.99999999965,91460.17879200213,252,201600,40,-40,E1.5_TP1.0_SL2.0
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-578738.5800000028,0.0,-578738.5800000028,-59528.9400000028,-107499.52780109082,47970.58780108801,95176.85999999997,98764.80000000002,-59528.9400000028,159541.35431459968,204,3148128,40,-40,E1.5_TP1.0_SL2.0
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-648043.1749999997,-0.0,-648043.1749999997,-226780.99999999974,-280918.36198570975,54137.361985710006,92547.35000000006,113390.5,-226780.99999999974,340173.2705855996,252,474264,40,-40,E1.5_TP1.0_SL2.0
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-87431.00000000013,0.0,-87431.00000000013,-129325.60000000062,-169261.3748258406,39935.77482584,21322.599999999988,23824.600000000013,-129325.60000000062,248669.85060343792,174,386976,40,-5,E1.5_TP1.0_SL2.0
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,-1090502.6999999993,0.0,-1090502.6999999993,641725.0000000012,440511.20214920084,201213.79785080033,327243.7,382987.5,641725.0000000012,335348.17013600003,934,52304,40,-40,E1.5_TP1.0_SL2.0
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,83337.50000000554,0.0,83337.50000000554,37059.37500000488,13153.524354254885,23905.850645749997,25406.875,30532.5,37059.37500000488,140251.248554,94,277300,40,-1,E1.5_TP1.0_SL2.0
SIEMENS,2025-02-17 11:19:00,2025-09-30 15:29:00,97292.24999999904,0.0,97292.24999999904,63896.24999999851,28849.439922598503,35046.810077400005,45969.0,79389.75,63896.24999999851,150296.53012770088,232,76560,40,-1,E1.5_TP1.0_SL2.0
SOLARINDS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
SONACOMS,2025-02-17 11:19:00,2025-09-30 15:29:00,948752.700000001,0.0,948752.700000001,51438.9000000008,-43989.68200955916,95428.58200955996,158596.35000000012,323965.3499999999,51438.9000000008,378342.33813726134,470,1562280,0,-40,E1.5_TP1.0_SL2.0
SRF,2025-02-17 11:20:00,2025-09-30 15:29:00,-219810.2999999967,0.0,-219810.2999999967,47063.10000000332,29039.478177163313,18023.621822840003,26754.5,14702.199999999999,47063.10000000332,20026.286656158634,82,47888,0,-40,E1.5_TP1.0_SL2.0
SUNPHARMA,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
SUPREMEIND,2025-02-17 11:19:00,2025-09-30 15:29:00,8821.999999999378,0.0,8821.999999999378,171665.99999999968,143171.48606199966,28494.51393800001,67397.0,96943.0,171665.99999999968,263222.53272920003,126,55440,40,-12,E1.5_TP1.0_SL2.0
SUZLON,2025-08-01 11:25:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
SYNGENE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
