UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-221505.89999999493,0.0,-221505.89999999493,75128.70000000653,49205.01011634652,25923.68988366001,46361.70000000001,58738.200000000026,75128.70000000653,21298.8228527405,142,189996,0,-40,E1.5_TP1.0_SL2.0
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,-31096.259999999813,0.0,-31096.259999999813,96844.79999999964,65470.967731727644,31373.832268271995,39519.74,36190.7,96844.79999999964,248810.98324867443,136,1371968,40,-23,E1.5_TP1.0_SL2.0
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-6270.224999999488,-0.0,-6270.224999999488,68608.14999999816,2495.0449790481507,66113.10502095001,99173.10000000003,141012.94999999998,68608.14999999816,172841.4207327663,272,417248,40,-3,E1.5_TP1.0_SL2.0
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,-110057.60000000175,0.0,-110057.60000000175,67530.89999999866,28764.088439118663,38766.81156087999,46585.399999999994,55305.900000000016,67530.89999999866,99398.68143427654,166,108232,40,-40,E1.5_TP1.0_SL2.0
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E1.5_TP1.0_SL2.0
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-536984.0000000003,0.0,-536984.0000000003,-184136.74999999974,-226510.31280114973,42373.56280115001,68966.625,76867.875,-184136.74999999974,251937.69630330376,186,559860,40,-40,E1.5_TP1.0_SL2.0
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-684857.2500000044,0.0,-684857.2500000044,-54268.20000000455,-136186.64559360454,81918.4455936,116395.20000000001,155795.4000000001,-54268.20000000455,309508.7841946774,344,730656,40,-40,E1.5_TP1.0_SL2.0
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-52206.14999999653,0.0,-52206.14999999653,244756.4500000033,180886.4364726833,63870.01352732,137411.99999999994,124902.65,244756.4500000033,348509.4931390332,258,358104,2,-40,E1.5_TP1.0_SL2.0
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-131222.9999999991,0.0,-131222.9999999991,-114154.04999999938,-133395.42601253936,19241.37601254,29506.500000000004,17691.45,-114154.04999999938,143210.35934957903,86,42828,40,-3,E1.5_TP1.0_SL2.0
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-198728.6399999995,0.0,-198728.6399999995,-258713.28000000014,-344643.78007238416,85930.50007238402,133135.19999999998,142935.84000000003,-258713.28000000014,578916.0646678089,296,3495168,0,-40,E1.5_TP1.0_SL2.0
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,-6489.700000000099,-0.0,-6489.700000000099,76314.19999999998,22637.125670159963,53677.07432984002,77482.2,109266.4,76314.19999999998,187391.8557644,286,83512,40,-1,E1.5_TP1.0_SL2.0
