UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-221874.62499999977,0.0,-221874.62499999977,-57904.87499999921,-77852.5592813492,19947.68428134999,26525.625,50568.0,-57904.87499999921,161871.41649734468,84,252840,40,-1,E2.0_TP0.5_SL1.5
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-248746.94999999928,0.0,-248746.94999999928,-15000.749999999029,-35715.155325119034,20714.405325120006,25780.05,63348.30000000002,-15000.749999999029,84821.37522839822,80,169920,40,0,E2.0_TP0.5_SL1.5
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-133699.09999999517,0.0,-133699.09999999517,-5343.79999999571,-38560.1575697957,33216.35756979999,55068.9,39870.299999999996,-5343.79999999571,208256.04595483874,128,177664,0,-40,E2.0_TP0.5_SL1.5
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-140560.50000000023,0.0,-140560.50000000023,8652.749999999634,-10525.167087660362,19177.917087659996,11466.449999999995,17454.899999999998,8652.749999999634,82287.23785524265,84,41832,40,0,E2.0_TP0.5_SL1.5
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-110493.36000000153,0.0,-110493.36000000153,-64058.40000000148,-73950.96394569748,9892.563945696,12605.039999999999,14317.2,-64058.40000000148,73950.96394569748,38,448704,0,-19,E2.0_TP0.5_SL1.5
LTIM,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
LUPIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SBICARD,2025-02-17 11:19:00,2025-09-30 15:29:00,-215630.14999999997,-0.0,-215630.14999999997,1176.2499999997362,-16074.347207620262,17250.597207619998,32770.325,28253.524999999994,1176.2499999997362,30119.651063979538,82,154324,0,-40,E2.0_TP0.5_SL1.5
SBILIFE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SBIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SHREECEM,2025-02-17 11:19:00,2025-09-30 15:29:00,-14466.899999999878,0.0,-14466.899999999878,1538.6000000001222,238.72742096012234,1299.87257904,699.3000000000001,1644.3000000000002,1538.6000000001222,351.76055908,6,336,0,-3,E2.0_TP0.5_SL1.5
SHRIRAMFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SIEMENS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SOLARINDS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SONACOMS,2025-02-17 11:19:00,2025-09-30 15:29:00,639412.9499999969,0.0,639412.9499999969,78197.09999999648,-4412.52153174355,82609.62153174003,138153.74999999985,212777.55,78197.09999999648,389920.15439345816,404,1342896,0,-40,E2.0_TP0.5_SL1.5
SRF,2025-02-17 11:20:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SUNPHARMA,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SUPREMEIND,2025-02-17 11:19:00,2025-09-30 15:29:00,-2761.00000000004,0.0,-2761.00000000004,9701.99999999998,8441.18409639998,1260.8159036,3454.0,5764.0,9701.99999999998,216.57245280000006,6,2640,1,0,E2.0_TP0.5_SL1.5
SUZLON,2025-08-01 11:25:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
SYNGENE,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP0.5_SL1.5
