UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-152531.99999999514,0.0,-152531.99999999514,11272.65000000535,-3334.7537164146506,14607.40371642,28599.75,38735.100000000006,11272.65000000535,16923.544428477602,80,107040,0,-40,E2.0_TP1.0_SL1.5
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,114599.67999999959,0.0,114599.67999999959,145872.4799999991,107055.0412693831,38817.438730616006,36947.3,55811.860000000015,145872.4799999991,213667.73552155355,164,1654432,40,0,E2.0_TP1.0_SL1.5
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL1.5
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL1.5
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-91944.12500000036,-0.0,-91944.12500000036,-6001.775000002096,-55941.0108747121,49939.23587471,80630.87499999994,126785.10000000002,-6001.775000002096,152127.51857498227,206,316004,40,-1,E2.0_TP1.0_SL1.5
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL1.5
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,18533.09999999997,0.0,18533.09999999997,12192.40000000003,8949.662456320031,3242.73754368,3667.5000000000005,5297.5,12192.40000000003,2285.2420373995546,14,9128,5,0,E2.0_TP1.0_SL1.5
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.0_TP1.0_SL1.5
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-276769.5,0.0,-276769.5,-169914.4999999995,-189765.7157679495,19851.21576795,25095.875,41048.875,-169914.4999999995,237541.98218555484,84,252840,40,-1,E2.0_TP1.0_SL1.5
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-318971.6999999991,0.0,-318971.6999999991,53604.450000000776,8780.174717760783,44824.27528223999,59312.69999999998,101447.55000000005,53604.450000000776,104626.5351926381,184,390816,40,-7,E2.0_TP1.0_SL1.5
