UNDERLYING,start,end,final_realized,final_unrealized,final_equity,final_gross_pnl,final_net_pnl,final_cost_pnl,final_spr_slpg1,final_spr_slpg2,final_own_amount,max_drawdown,total_contracts_traded,total_shares_traded,max_delta_lots,min_delta_lots,cfg
360ONE,2025-06-27 11:19:00,2025-09-30 15:29:00,-20471.399999999787,0.0,-20471.399999999787,9901.200000000426,7715.985290700426,2185.2147093,4114.35,4649.550000000001,9901.200000000426,5900.559167340273,12,16056,0,-4,E2.5_TP1.0_SL2.0
GAIL,2025-02-17 11:19:00,2025-09-30 15:29:00,9356.619999999803,0.0,9356.619999999803,146931.71999999968,113392.63049285566,33539.08950714402,36165.479999999996,46001.280000000035,146931.71999999968,61281.615323968035,142,1432496,40,0,E2.5_TP1.0_SL2.0
GLENMARK,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL2.0
GMRAIRPORT,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL2.0
GODREJCP,2025-02-17 11:20:00,2025-09-30 15:29:00,-12003.55000000025,-0.0,-12003.55000000025,79269.44999999907,43514.843322469074,35754.60667752999,60918.974999999984,101991.82500000004,79269.44999999907,138682.0363864,148,227032,40,-1,E2.5_TP1.0_SL2.0
GODREJPROP,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL2.0
GRASIM,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL2.0
LAURUSLABS,2025-02-17 11:19:00,2025-09-30 15:29:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,E2.5_TP1.0_SL2.0
LICHSGFIN,2025-02-17 11:19:00,2025-09-30 15:29:00,-212995.12499999997,0.0,-212995.12499999997,-116637.49999999983,-135759.52502734982,19122.02502734999,24907.75,49213.5,-116637.49999999983,209704.94249109554,80,240800,40,0,E2.5_TP1.0_SL2.0
LICI,2025-02-17 11:19:00,2025-09-30 15:29:00,-251375.3999999993,0.0,-251375.3999999993,-7832.249999999207,-31369.005858599212,23536.755858600005,30744.900000000005,79888.94999999995,-7832.249999999207,52620.10179389992,92,195408,40,0,E2.5_TP1.0_SL2.0
LODHA,2025-02-17 11:19:00,2025-09-30 15:29:00,-9924.199999999182,0.0,-9924.199999999182,40286.700000000914,34920.40741836091,5366.29258164,17193.85,9698.65,40286.700000000914,11839.819968080377,22,30536,0,-7,E2.5_TP1.0_SL2.0
LT,2025-02-17 11:19:00,2025-09-30 15:29:00,-133351.95000000027,0.0,-133351.95000000027,-121935.3000000003,-139649.9751662403,17714.67516624,10246.349999999995,15574.949999999999,-121935.3000000003,147125.13611454042,80,39840,40,0,E2.5_TP1.0_SL2.0
LTF,2025-02-17 11:19:00,2025-09-30 15:29:00,-116663.04000000011,0.0,-116663.04000000011,2833.9199999994307,-11280.082669632571,14114.002669632002,19247.04,18656.64,2833.9199999994307,45353.66866099338,50,590400,0,-12,E2.5_TP1.0_SL2.0
